t CPU GPU
139743.502288167 0 0
139743.507375316 0 0
139743.512510018 0 0
139743.517587887 0 0
139743.522671165 0 0
139743.527750474 0 0
139743.532834840 0 0
139743.537921285 0 0
139743.542998930 0 0
139743.548077824 0 0
139743.553157197 0 0
139743.558270779 0 0
139743.563384840 0 0
139743.568464150 0 0
139743.573539683 0 0
139743.578622641 0 0
139743.583706846 0 0
139743.588782828 0 0
139743.593863353 0 0
139743.598978279 0 0
139743.604060788 0 0
139743.609182306 0 0
139743.614263727 0 0
139743.619342460 0 0
139743.624421450 0 0
139743.629508855 0 0
139743.634598181 0 0
139743.639679058 0 0
139743.644760480 0 0
139743.649841421 0 0
139743.654923771 0 0
139743.660056456 0 0
139743.665137366 0 0
139743.670220867 0 0
139743.675323601 0 0
139743.680405566 0 0
139743.685490059 0 0
139743.690567673 0 0
139743.695645478 0 0
139743.700729172 0 0
139743.705808513 0 0
139743.710884495 0 0
139743.715935260 0 0
139743.721016713 0 0
139743.726096023 0 0
139743.731173380 0 0
139743.736254866 0 0
139743.741341887 0 0
139743.746424685 0 0
139743.751503290 0 0
139743.756581864 0 0
139743.761659669 0 0
139743.766736994 0 0
139743.771814128 0 0
139743.776897885 0 0
139743.781977387 0 0
139743.787052856 0 0
139743.792131174 0 0
139743.797208243 0 0
139743.802306081 0 0
139743.807426126 0 0
139743.812504924 0 0
139743.817581449 0 0
139743.822666230 0 0
139743.827749572 0 0
139743.832830993 0 0
139743.837914655 0 0
139743.842990572 0 0
139743.848070554 0 0
139743.853153863 0 0
139743.858233045 0 0
139743.863318370 0 0
139743.868438896 0 0
139743.873550205 0 0
139743.878635883 0 0
139743.883715608 0 0
139743.888805381 0 0
139743.893891219 0 0
139743.898973760 0 0
139743.904062030 0 0
139743.909163355 0 0
139743.914272489 0 0
139743.919366838 0 0
139743.924463748 0 0
139743.929547569 0 0
139743.934625407 0 0
139743.939703660 0 0
139743.944838138 0 0
139743.949951527 0 0
139743.955044629 0 0
139743.960206370 0 0
139743.965297360 0 0
139743.970380701 0 0
139743.975469739 0 0
139743.980558968 0 0
139743.985645734 0 0
139743.990735635 0 0
139743.995818561 0 0
139744.902158 0 0
139744.5990107 0 0
139744.11070921 0 0
139744.16151158 0 0
139744.21234020 0 0
139744.26313265 0 0
139744.31392575 0 0
139744.36469196 0 0
139744.41524153 0 0
139744.46613127 0 0
139744.51692276 0 0
139744.56774562 0 0
139744.61853007 0 0
139744.66934877 0 0
139744.72017066 0 0
139744.77094264 0 0
139744.82173061 0 0
139744.87301907 0 0
139744.92608801 0 0
139744.97770926 0 0
139744.102877628 0 0
139744.107960105 0 0
139744.113042519 0 0
139744.118133796 0 0
139744.123245330 0 0
139744.128321567 0 0
139744.133471853 0 0
139744.138575034 0 0
139744.143661352 0 0
139744.148747029 0 0
139744.153832451 0 0
139744.158919120 0 0
139744.163998366 0 0
139744.169130635 0 0
139744.174218681 0 0
139744.179299430 0 0
139744.184384659 0 0
139744.189472737 0 0
139744.194551086 0 0
139744.199629820 0 0
139744.204711913 0 0
139744.209902455 0 0
139744.214984484 0 0
139744.220137778 0 0
139744.225227999 0 0
139744.230307437 0 0
139744.235386074 0 0
139744.240494184 0 0
139744.245621525 0 0
139744.250725443 0 0
139744.255810288 0 0
139744.260935966 0 0
139744.266015659 0 0
139744.271094201 0 0
139744.276172902 0 0
139744.281252372 0 0
139744.286335009 0 0
139744.291412879 0 0
139744.296491676 0 0
139744.301575178 0 0
139744.306652215 0 0
139744.311729796 0 0
139744.316804978 0 0
139744.321951647 0 0
139744.327057197 0 0
139744.332146618 0 0
139744.337244232 0 0
139744.342336565 0 0
139744.347417859 0 0
139744.352505520 0 0
139744.357591518 0 0
139744.362670539 0 0
139744.367750425 0 0
139744.372835526 0 0
139744.377918451 0 0
139744.382999361 0 0
139744.388146031 0 0
139744.393229724 0 0
139744.398308617 0 0
139744.403387191 0 0
139744.408474308 0 0
139744.413557874 0 0
139744.418718175 0 0
139744.423808109 0 0
139744.428889306 0 0
139744.433973800 0 0
139744.439051989 0 0
139744.444138755 0 0
139744.449219088 0 0
139744.454298558 0 0
139744.459384267 0 0
139744.464468792 0 0
139744.469550022 0 0
139744.474627347 0 0
139744.479715489 0 0
139744.484803182 0 0
139744.489880892 0 0
139744.494957705 0 0
139744.500107863 0 0
139744.505197092 0 0
139744.510308210 0 0
139744.515385951 0 0
139744.520467501 0 0
139744.525545914 0 0
139744.530623208 0 0
139744.535700149 0 0
139744.540777666 0 0
139744.545855504 0 0
139744.550933341 0 0
139744.556014059 0 0
139744.561101592 0 0
139744.566188838 0 0
139744.571273523 0 0
139744.576356225 0 0
139744.581439054 0 0
139744.586525083 0 0
139744.591617641 0 0
139744.596704790 0 0
139744.601793028 0 0
139744.606871953 0 0
139744.611950943 0 0
139744.617034060 0 0
139744.622109882 0 0
139744.627185959 0 0
139744.632302901 0 0
139744.637378594 0 0
139744.642466992 0 0
139744.647543389 0 0
139744.652621642 0 0
139744.657734168 0 0
139744.662835397 0 0
139744.667922643 0 0
139744.673009184 0 0
139744.678091534 0 0
139744.683170235 0 0
139744.688262633 0 0
139744.693411958 0 0
139744.698493444 0 0
139744.703573745 0 0
139744.708656927 0 0
139744.713734060 0 0
139744.718810842 0 0
139744.723887687 0 0
139744.728967316 0 0
139744.734048002 0 0
139744.739224368 0 0
139744.744316253 0 0
139744.749395306 0 0
139744.754473112 0 0
139744.759550245 0 0
139744.764627603 0 0
139744.770161121 0 0
139744.775244687 0 0
139744.780330588 0 0
139744.785465450 0 0
139744.790543479 0 0
139744.795620965 0 0
139744.800706738 0 0
139744.805786528 0 0
139744.810866893 0 0
139744.815959291 0 0
139744.821090792 0 0
139744.826192822 0 0
139744.831319331 0 0
139744.836413681 0 0
139744.841540766 0 0
139744.846624300 0 0
139744.851741241 0 0
139744.856890567 0 0
139744.862052181 0 0
139744.867178530 0 0
139744.872297456 0 0
139744.877386557 0 0
139744.882559659 0 0
139744.887636440 0 0
139744.892725766 0 0
139744.897915188 0 0
139744.903006561 0 0
139744.908098190 0 0
139744.913257340 0 0
139744.918396778 0 0
139744.923487127 0 0
139744.928586917 0 0
139744.933759474 0 0
139744.938848768 0 0
139744.943939181 0 0
139744.949027515 0 0
139744.954184744 0 0
139744.959277686 0 0
139744.964372579 0 0
139744.969458897 0 0
139744.974620991 0 0
139744.979731532 0 0
139744.984823866 0 0
139744.989914759 0 0
139744.995035093 0 0
139745.124802 0 0
139745.5217744 0 0
139745.10304733 0 0
139745.15389770 0 0
139745.20476472 0 0
139745.25562565 0 0
139745.30648723 0 0
139745.35735744 0 0
139745.40918830 0 0
139745.46014619 0 0
139745.51237865 0 0
139745.56392567 0 0
139745.61521765 0 0
139745.66630322 0 0
139745.71767136 0 0
139745.76969805 0 0
139745.82086747 0 0
139745.87190344 0 0
139745.92431734 0 0
139745.97532964 0 0
139745.102712882 0 0
139745.107831679 0 0
139745.112925165 0 0
139745.118020986 0 0
139745.123208040 0 0
139745.128305301 0 0
139745.133396803 0 0
139745.138489968 0 0
139745.143665054 0 0
139745.148758859 0 0
139745.153850713 0 0
139745.158948454 0 0
139745.164132404 0 0
139745.169224258 0 0
139745.174318351 0 0
139745.179412029 0 0
139745.184580330 0 0
139745.189674328 0 0
139745.194766629 0 0
139745.199860531 0 0
139745.204951008 0 0
139745.210140718 0 0
139745.215320828 0 0
139745.220427657 0 0
139745.225523255 0 0
139745.230616676 0 0
139745.235708178 0 0
139745.240800799 0 0
139745.245893452 0 0
139745.250987482 0 0
139745.256089063 0 0
139745.261182581 0 0
139745.266270626 0 0
139745.271362192 0 0
139745.276527838 0 0
139745.281669035 0 0
139745.286764313 0 0
139745.291854470 0 0
139745.296950548 0 0
139745.302042721 0 0
139745.307169455 0 0
139745.312272604 0 0
139745.317364426 0 0
139745.322452983 0 0
139745.327542533 0 0
139745.332634578 0 0
139745.337726143 0 0
139745.342825037 0 0
139745.347917338 0 0
139745.353010696 0 0
139745.358104149 0 0
139745.363193923 0 0
139745.368279120 0 0
139745.373369886 0 0
139745.378467115 0 0
139745.383566105 0 0
139745.388657830 0 0
139745.393748628 0 0
139745.398837665 0 0
139745.403927567 0 0
139745.409068700 0 0
139745.414160298 0 0
139745.419250935 0 0
139745.424343877 0 0
139745.429438578 0 0
139745.434527296 0 0
139745.439615245 0 0
139745.444709083 0 0
139745.449797640 0 0
139745.454887126 0 0
139745.460041891 0 0
139745.465137553 0 0
139745.470226014 0 0
139745.475320236 0 0
139745.480400473 0 0
139745.485499271 0 0
139745.490589460 0 0
139745.495677185 0 0
139745.500768591 0 0
139745.505862908 0 0
139745.511023434 0 0
139745.516116024 0 0
139745.521215013 0 0
139745.526305203 0 0
139745.531393760 0 0
139745.536484942 0 0
139745.541573019 0 0
139745.546714793 0 0
139745.551803926 0 0
139745.556905060 0 0
139745.562011025 0 0
139745.567101887 0 0
139745.572195852 0 0
139745.577286906 0 0
139745.582380007 0 0
139745.587466516 0 0
139745.592562882 0 0
139745.597663695 0 0
139745.602753821 0 0
139745.607858218 0 0
139745.612954424 0 0
139745.618044677 0 0
139745.623133395 0 0
139745.628232256 0 0
139745.633321262 0 0
139745.638410011 0 0
139745.643497481 0 0
139745.648589622 0 0
139745.653723652 0 0
139745.658816593 0 0
139745.663904415 0 0
139745.668998156 0 0
139745.674087130 0 0
139745.679172327 0 0
139745.684262197 0 0
139745.689344226 0 0
139745.694437232 0 0
139745.699591485 0 0
139745.704683467 0 0
139745.709772184 0 0
139745.714901542 0 0
139745.719990163 0 0
139745.725077409 0 0
139745.730164974 0 0
139745.735252604 0 0
139745.740344457 0 0
139745.745437207 0 0
139745.750525252 0 0
139745.755612210 0 0
139745.760705343 0 0
139745.765793229 0 0
139745.770887098 0 0
139745.775975751 0 0
139745.781066517 0 0
139745.786155906 0 0
139745.791242608 0 0
139745.796336125 0 0
139745.801428075 0 0
139745.806518200 0 0
139745.811603718 0 0
139745.816695763 0 0
139745.821793601 0 0
139745.826884814 0 0
139745.831977564 0 0
139745.837071849 0 0
139745.842160983 0 0
139745.847247908 0 0
139745.852340594 0 0
139745.857471199 0 0
139745.862558509 0 0
139745.867651226 0 0
139745.872740808 0 0
139745.877828437 0 0
139745.882964259 0 0
139745.888074480 0 0
139745.893190014 0 0
139745.898270091 0 0
139745.903343993 0 0
139745.908419750 0 0
139745.913493779 0 0
139745.918566913 0 0
139745.923653966 0 0
139745.928755132 0 0
139745.933842441 0 0
139745.938929303 0 0
139745.944023044 0 0
139745.949115058 0 0
139745.954202335 0 0
139745.959289933 0 0
139745.964383258 0 0
139745.969472456 0 0
139745.974563541 0 0
139745.979656803 0 0
139745.984748176 0 0
139745.989836990 0 0
139745.994925931 0 0
139746.174489 0 0
139746.5260582 0 0
139746.10349140 0 0
139746.15434817 0 0
139746.20534159 0 0
139746.25619164 0 0
139746.30709770 0 0
139746.35796119 0 0
139746.40881541 0 0
139746.45967346 0 0
139746.51051840 0 0
139746.56141549 0 0
139746.61274395 0 0
139746.66368616 0 0
139746.71463030 0 0
139746.76537251 0 0
139746.81624145 0 0
139746.86711678 0 0
139746.91797227 0 0
139746.96885433 0 0
139746.101970598 0 0
139746.107056436 0 0
139746.112143201 0 0
139746.117230255 0 0
139746.122315708 0 0
139746.127401002 0 0
139746.132489879 0 0
139746.137579717 0 0
139746.142664338 0 0
139746.147749568 0 0
139746.152840973 0 0
139746.157925915 0 0
139746.163012744 0 0
139746.168099989 0 0
139746.173193187 0 0
139746.178279440 0 0
139746.183364926 0 0
139746.188449675 0 0
139746.193534553 0 0
139746.198619686 0 0
139746.203769364 0 0
139746.208874593 0 0
139746.214007087 0 0
139746.219102716 0 0
139746.224192202 0 0
139746.229281975 0 0
139746.234372101 0 0
139746.239460978 0 0
139746.244550368 0 0
139746.249637837 0 0
139746.254731195 0 0
139746.259822728 0 0
139746.264918294 0 0
139746.270009571 0 0
139746.275097873 0 0
139746.280189630 0 0
139746.285282892 0 0
139746.290375033 0 0
139746.295462215 0 0
139746.300611092 0 0
139746.305700770 0 0
139746.310789007 0 0
139746.315873277 0 0
139746.320984042 0 0
139746.326069848 0 0
139746.331192005 0 0
139746.336312595 0 0
139746.341410944 0 0
139746.346502126 0 0
139746.351591227 0 0
139746.356682313 0 0
139746.361772374 0 0
139746.366860740 0 0
139746.371949297 0 0
139746.377079071 0 0
139746.382170732 0 0
139746.387261690 0 0
139746.392352199 0 0
139746.397443637 0 0
139746.402529890 0 0
139746.407617680 0 0
139746.412711581 0 0
139746.417803530 0 0
139746.422895608 0 0
139746.427985125 0 0
139746.433073971 0 0
139746.438172448 0 0
139746.443266158 0 0
139746.448368475 0 0
139746.453461097 0 0
139746.458550678 0 0
139746.463644548 0 0
139746.468740049 0 0
139746.473835295 0 0
139746.478926988 0 0
139746.484060698 0 0
139746.489230056 0 0
139746.494321045 0 0
139746.499413218 0 0
139746.504509168 0 0
139746.509602621 0 0
139746.514695275 0 0
139746.519787448 0 0
139746.524880230 0 0
139746.529970323 0 0
139746.535058241 0 0
139746.540149294 0 0
139746.545243836 0 0
139746.550332169 0 0
139746.555419767 0 0
139746.560563076 0 0
139746.565651218 0 0
139746.570737887 0 0
139746.575825773 0 0
139746.580916794 0 0
139746.586005352 0 0
139746.591096085 0 0
139746.596208707 0 0
139746.601298256 0 0
139746.606397406 0 0
139746.611497035 0 0
139746.616590553 0 0
139746.621683974 0 0
139746.626772660 0 0
139746.631904257 0 0
139746.636992527 0 0
139746.642086492 0 0
139746.647177098 0 0
139746.652279799 0 0
139746.657371333 0 0
139746.662462802 0 0
139746.667553760 0 0
139746.672646829 0 0
139746.677735579 0 0
139746.682825128 0 0
139746.687915478 0 0
139746.693010755 0 0
139746.698100977 0 0
139746.703189150 0 0
139746.708297356 0 0
139746.713389273 0 0
139746.718478183 0 0
139746.723658260 0 0
139746.728733506 0 0
139746.733820911 0 0
139746.738892861 0 0
139746.743976138 0 0
139746.749046967 0 0
139746.754128261 0 0
139746.759199602 0 0
139746.764281088 0 0
139746.769353037 0 0
139746.774621467 0 0
139746.779724425 0 0
139746.784812502 0 0
139746.789901508 0 0
139746.794985681 0 0
139746.800075743 0 0
139746.805160396 0 0
139746.810245754 0 0
139746.815333031 0 0
139746.820420468 0 0
